category_id,hpp,idx,label,pd_descr,pd_id,pd_price,rank
120,chart_sub120,6,冷氣 / 暖氣,韓國甲珍恆溫雙人電毯 KR3800-T,4847159,1280,3
120,chart_sub120,6,冷氣 / 暖氣,韓國甲珍恆溫單人電毯 KR-3800-T,4868292,1280,4
120,chart_sub120,6,冷氣 / 暖氣,HITACHI日立專用冷氣遙控器(AI-H1),1557994,298,5
202,chart_sub202,7,窈窕 / 纖盈 / 美肌 / 美體,【買2送2】Trimi8 胺基纖(共150粒/盒x2 + 30粒/包x2),4195410,1540,1
202,chart_sub202,7,窈窕 / 纖盈 / 美肌 / 美體,Fitizen 有酵習慣 (117粒/包),4784855,770,2
202,chart_sub202,7,窈窕 / 纖盈 / 美肌 / 美體,纖Q紅豆水3入組(2g*30入/3包),4490889,939,3
202,chart_sub202,7,窈窕 / 纖盈 / 美肌 / 美體,allin 十勝原机膠原粉2入 (132g/入),4414414,1280,4
202,chart_sub202,7,窈窕 / 纖盈 / 美肌 / 美體,纖Q紅豆水2g*30入,4490890,349,5
215,chart_sub215,8,品牌桌上型電腦,Acer TC780 [暗黑勇士] 第七代 i5 四核 1030-2G 獨顯  雙硬碟電玩桌機,7213927,19900,1
215,chart_sub215,8,品牌桌上型電腦,ASUS華碩 TS10電腦棒(x5-Z8350/32G/2G/Win10),6630268,4990,2
215,chart_sub215,8,品牌桌上型電腦,Acer GX-781 第七代 [風雲悍將] i5-7400/8G/128G/1T,7039778,21900,3
215,chart_sub215,8,品牌桌上型電腦,XC330 AMD 雙核 Win10 文書桌機,7603079,9900,4
215,chart_sub215,8,品牌桌上型電腦,Acer GX-785 第七代 i7-7700 GTX 1060 電競狂機種,7213204,36900,5
286,chart_sub286,9,健身器材,【Wonder Core Smart】全能輕巧健身機 嫩芽綠 - 快速到貨,5474006,1557,1
286,chart_sub286,9,健身器材,英國BODY Star Shaper_居家輕巧健身車,2614436,2280,2
286,chart_sub286,9,健身器材,Wonder Core 2  -全能塑體健身機 (強化升級版)送30分鐘教學光碟,5259631,2181,3
286,chart_sub286,9,健身器材,SAN SPORTS 山司伯特 動感活力美腿機,2233555,1280,4
286,chart_sub286,9,健身器材,【BLADEZ】YD30A - 20KG複合鐵組合式啞鈴,5009203,1654,5
408,chart_sub408,0,鍵盤 / 滑鼠 / 繪圖板,羅技 無線滑鼠鍵盤組 MK270R,5067531,698,1
408,chart_sub408,0,鍵盤 / 滑鼠 / 繪圖板,羅技 無線滑鼠M235-三色選,3987985,399,2
408,chart_sub408,0,鍵盤 / 滑鼠 / 繪圖板,羅技 M170 無線滑鼠-三色可選,6586263,339,3
408,chart_sub408,0,鍵盤 / 滑鼠 / 繪圖板,羅技 MK235無線鍵盤滑鼠組,6482393,598,4
408,chart_sub408,0,鍵盤 / 滑鼠 / 繪圖板,羅技無線滑鼠鍵盤組 MK330,3868562,899,5
430,chart_sub430,1,手機,iNO CP39 3G極簡風老人御用手機(公司貨),5851808,888,1
430,chart_sub430,1,手機,iNO CP200 雙螢幕3G孝親手機,6384498,1388,2
430,chart_sub430,1,手機,Nokia 5.1 Plus 5.8吋全螢幕智慧型手機,7900140,4990,3
430,chart_sub430,1,手機,Samsung Galaxy Note 8 64G 6.3吋無邊際旗艦機,7333316,20900,4
430,chart_sub430,1,手機,iNO CP300 雙螢幕銀髮族御用4G摺疊手機(公司貨),7739561,1850,5
436,chart_sub436,2,平板電腦,ASUS ZenPad C 7.0 Z170CX 7吋四核平板(WiFi/8G),6405998,2990,1
436,chart_sub436,2,平板電腦,ACER Iconia One 10 B3-A40 10吋四核WiFi/16G-白色,7649959,4550,2
436,chart_sub436,2,平板電腦,ACER Iconia One 10 B3-A40 10吋四核WiFi/16G-白色,7306381,4990,3
436,chart_sub436,2,平板電腦,SAMSUNG Galaxy Tab E 8.0 四核心平板 (LTE版 16G),6891327,4990,4
436,chart_sub436,2,平板電腦,ASUS ZenPad 10 Z301M 10吋四核平板 (WiFi/16G),7748017,5990,5
454,chart_sub454,3,手機殼 / 皮套 / 自拍棒,Rearth Apple iphone 6 /6s  Fusion 手機殼,5484501,500,1
454,chart_sub454,3,手機殼 / 皮套 / 自拍棒,E-books N35 藍牙可分離式遙控三腳架自拍組,6886072,498,2
454,chart_sub454,3,手機殼 / 皮套 / 自拍棒,aibo 二合一手持三腳架藍牙自拍桿(OO-87),6682177,349,3
454,chart_sub454,3,手機殼 / 皮套 / 自拍棒,ANTIAN自拍神器 玫瑰金自拍棒 鋁合金三角架 直播自拍杆,7149916,497,4
454,chart_sub454,3,手機殼 / 皮套 / 自拍棒,aibo 魚眼/廣角/微距 三合一通用型夾式鏡頭,5388093,399,5
457,chart_sub457,4,泳裝 / 比基尼,天使霓裳   精選熱銷泳裝/比基尼(任選2套),2953617,1290,1
457,chart_sub457,4,泳裝 / 比基尼,Biki比基尼妮，心機襯托集中提胸款胸墊可放內衣泳衣(防水),5182735,192,2
457,chart_sub457,4,泳裝 / 比基尼,Biki比基尼妮，布面提胸貼隱形胸罩泳衣專用可下水(特品不附盒子),5151663,380,3
457,chart_sub457,4,泳裝 / 比基尼,Biki比基尼妮，3D立體泳裝內衣專用矽膠加厚襯墊(一對價),4607751,380,4
457,chart_sub457,4,泳裝 / 比基尼,【Biki比基尼.妮】低腰三角褲頭比基尼打底褲防走光褲可搭泳裝(單售小褲杏),3954891,260,5
459,chart_sub459,5,童裝 / 穿搭配件,JJLKIDS 時尚注目純棉POLO衫(亮眼橘),7213195,129,1
459,chart_sub459,5,童裝 / 穿搭配件,baby童衣 連身衣短袖動物立體尾巴41142,5004753,250,2
459,chart_sub459,5,童裝 / 穿搭配件,JJLKIDS 時尚星星內刷毛保暖內搭褲(2色),7375101,199,3
459,chart_sub459,5,童裝 / 穿搭配件,baby童衣 大小童居家套裝 長袖睡衣50510,6810540,340,4
459,chart_sub459,5,童裝 / 穿搭配件,baby童衣 居家服 護肚套裝 印花造型保暖空氣棉41308,6870911,390,5
461,chart_sub461,6,運動男鞋,休閒鞋 Nike Air Force 1 07 流行 男鞋,6769131,3180,1
461,chart_sub461,6,運動男鞋,Nike Roshe Run One 復古 路跑 男鞋,6271165,1799,2
461,chart_sub461,6,運動男鞋,Nike 休閒鞋 Classic Cortez 男鞋 女鞋,7348486,2780,3
